code,name,category,standards.en388,standards.en407,standards.en511,standards.note,materials.liner,materials.coating,features,best_for,why,link
+921,دستکش سیگما +921,ضد برش (Cut Resistant),2X43,—,—,"Cut 5 (HPPE)، برخی سطوح دقیق گزارش نشده‌اند",HPPE,—,"مقاومت برش بالا (Cut 5); گریپ مناسب در محیط‌های روغنی/خشک","فلزکاری; برش لبه‌های تیز","چون فیبر HPPE و مقاومت برشی سطح ۵ داره، برای کار با اجسام تیز در محیط‌های روغنی عالیه.",https://sigmagloves.com/products/sigma-921-cut-resistant-work-gloves/
+911,دستکش سیگما +911,ضد برش (Cut Resistant),1X42,—,—,"Cut 5 (HPPE)",HPPE,—,"مقاومت برش بالا; کنترل خوب دست","کارهای دقیق فلزی; عمومی با خطر برش","گزینه‌ای اقتصادی با مقاومت برش بالا و کنترل خوب دست؛ مناسب کارهای دقیق فلزی.",https://sigmagloves.com/products/sigma-911-cut-resistant-work-gloves/
922,دستکش سیگما 922,ضد برش (Cut Resistant),3X42,—,—,"Cut 5 (HPPE)",HPPE,—,"تعادل راحتی و محافظت برش",وظایف سبک تا متوسط با لبه‌های تیز,"تعادل خوب بین راحتی و محافظت در برابر برش برای کارهای سبک تا متوسط.",https://sigmagloves.com/products/sigma-931-cut-resistant-work-gloves/
412,دستکش سیگما 412 (لاتکس),عمومی / ضد لغزش,—,—,—,,پلی‌استر/فلامنت,لاتکس,"ضد لغزش; راحتی مناسب کار عمومی","عمومی; سطوح مرطوب","پوشش لاتکس با چنگش ضدلغزش؛ مناسب کار عمومی و سطوح مرطوب.",https://sigmagloves.com/products/sigma-412-latex-work-gloves/
418,دستکش سیگما 418 (لاتکس),عمومی / مونتاژ سبک,—,—,—,,بافت تمیز,لاتکس,"گریپ مناسب; نرم و خوش‌دست","کار عمومی; مونتاژ سبک","لاتکس بافت تمیز با چسبندگی خوب؛ مناسب کارهای عمومی و مونتاژ سبک.",https://sigmagloves.com/products/sigma-418-latex-work-gloves/
+422,دستکش سیگما +422 (لاتکس),عمومی مقاوم‌تر,—,—,—,,—,لاتکس,"استحکام کششی بالا; ضد لغزش","عمومی; کار کمی خشن‌تر","لاتکس با استحکام کششی بالا و ضدلغزش؛ گزینهٔ عمومی مقاوم‌تر.",https://sigmagloves.com/products/sigma-422-latex-work-gloves/
432,دستکش سیگما 432 (لاتکس),عمومی / مرطوب,—,—,—,,—,"لاتکس (پوشش بیشتر)","دوام بالاتر; گریپ در حالت مرطوب","شرایط مرطوب و لغزنده; عمومی","لاتکس با پوشش سراسری و دوام بالاتر؛ مناسب محیط‌های مرطوب و لغزنده.",https://sigmagloves.com/products/sigma-432-latex-work-gloves/
+434,دستکش سیگما +434 (حوله‌ای/لاتکس),زمستانی / مرطوب,—,—,—,,آستر حوله‌ای گرم,لاتکس,"گرم و نرم; چنگش خوب","هوای سرد; مرطوب","آستر حوله‌ای گرم و پوشش لاتکس برای کار زمستانی با چنگش خوب.",https://sigmagloves.com/products/sigma-434-latex-work-gloves/
+446,دستکش سیگما +446 (لاتکس شیاردار),زمستانی / مرطوب,2142,—,—,,پلی‌استر پرزدار گرم,لاتکس شیاردار,"گرمایش دست; گریپ عالی در خیس","باغبانی; ساختمانی; کار در سرما/رطوبت","آستر گرم و پوشش شیاردار برای کار در سرما یا شرایط مرطوب.",https://sigmagloves.com/products/sigma-446-latex-work-gloves/
+485,دستکش سیگما +485 (لاتکس فوم),عمومی / گریپ بالا,2242,—,—,,—,"لاتکس فوم + لایه لاتکس","چنگش قوی; انعطاف و تهویه خوب","کار طولانی; سطوح لغزنده","لایه‌ی فوم برای چنگش بالا و تهویه‌ی خوب، مناسب کار طولانی.",https://sigmagloves.com/products/sigma-485-latex-work-gloves/
348,دستکش سیگما 348 (نیتریل),روغنی/شیمیایی,—,—,—,"مقاوم به روغن/حلال؛ برای EN374 نیاز به اطلاعات تکمیلی",—,نیتریل,"مقاوم به روغن و حلال; ضدحساسیت","نفت و گاز; مواد نفتی/حلال","پوشش نیتریل مقاوم در برابر روغن و حلال، مناسب محیط‌های صنعتی نفتی و شیمیایی.",https://sigmagloves.com/products/sigma-986-cut-resistant-work-gloves/
342,دستکش سیگما +342 (نیتریل),روغنی/شیمیایی,—,—,—,,—,نیتریل,"مناسب تماس با حلال‌ها; دوام بالا",محیط‌های روغنی/حلالی,"نیتریل برای تماس با روغن‌ها و حلال‌ها با دوام بالا.",https://sigmagloves.com/products/sigma-486-nitrile-work-gloves/
344,دستکش سیگما 344 (نیتریل),روغنی/خشن,—,—,—,,—,"نیتریل تقویت‌شده","دوام و سوراخ‌نشدن بهتر; مناسب کار خشن","حلال/روغن; کار سنگین","نیتریل با مقاومت تقویت‌شده؛ مناسب حلال‌ها و روغن در کارهای خشن.",https://sigmagloves.com/products/sigma-344-nitrile-work-gloves/
346,دستکش سیگما 346 (نیتریل),روغنی/تقویت‌شده,—,—,—,,—,"نیتریل با تقویت سرانگشت","دوام بالا; گریپ در روغن; تقویت نوک انگشت","اویل & گس; کارهای سنگین روغنی","نیتریل مقاوم با تقویت سرانگشت؛ مناسب محیط‌های روغنی و کار سنگین.",https://sigmagloves.com/products/sigma-334-nitrile-work-gloves/
332,دستکش سیگما 332 (نیتریل),روغنی/دوام بالا,—,—,—,,—,"نیتریل (تمام‌کف)","دوام بالا; مقاومت سوراخ‌شدن خوب","تماس با روغن/حلال; تعمیرات/مکانیکی","نیتریل تمام‌کف برای تماس با روغن‌ها و حلال‌ها با دوام بالا.",https://sigmagloves.com/products/sigma-332-nitrile-work-gloves/
312,دستکش سیگما 312 (نیتریل),روغنی/مکانیکی,—,—,—,,—,نیتریل صنعتی,"مقاومت خوب در برابر سوراخ; ضدحساسیت","کار با مواد نفتی; تعمیرات/مکانیکی","نیتریل صنعتی با مقاومت خوب در برابر سوراخ؛ مناسب کار با مواد نفتی.",https://sigmagloves.com/products/sigma-312-nitrile-work-gloves/
